date  	sales
Jan-92	4889
Feb-92	5197
Mar-92	6061
Apr-92	6720
May-92	6811
Jun-92	6579
Jul-92	6598
Aug-92	7536
Sep-92	6923
Oct-92	7566
Nov-92	8257
Dec-92	12804
Jan-93	5480
Feb-93	5322
Mar-93	6390
Apr-93	7155
May-93	7175
Jun-93	6770
Jul-93	6954
Aug-93	7438
Sep-93	7144
Oct-93	7585
Nov-93	8558
Dec-93	12753
Jan-94	5166
Feb-94	5464
Mar-94	7145
Apr-94	7062
May-94	6993
Jun-94	6995
Jul-94	6886
Aug-94	7824
Sep-94	7229
Oct-94	7772
Nov-94	8873
Dec-94	13397
Jan-95	5377
Feb-95	5516
Mar-95	6995
Apr-95	7131
May-95	7246
Jun-95	7140
Jul-95	6863
Aug-95	7790
Sep-95	7618
Oct-95	7484
Nov-95	9055
Dec-95	13201
Jan-96	5375
Feb-96	6105
Mar-96	7246
Apr-96	7335
May-96	7712
Jun-96	7337
Jul-96	7059
Aug-96	8374
Sep-96	7554
Oct-96	8087
Nov-96	9180
Dec-96	13109
Jan-97	5833
Feb-97	5949
Mar-97	7695
Apr-97	7161
May-97	7978
Jun-97	7506
Jul-97	7602
Aug-97	8877
Sep-97	7859
Oct-97	8500
Nov-97	9594
Dec-97	13952
Jan-98	6282
Feb-98	6419
Mar-98	7795
Apr-98	8478
May-98	8501
Jun-98	8044
Jul-98	8272
Aug-98	9189
Sep-98	8099
Oct-98	9054
Nov-98	10093
Dec-98	14668
Jan-99	6617
Feb-99	6928
Mar-99	8734
Apr-99	8973
May-99	9237
Jun-99	8689
Jul-99	8869
Aug-99	9764
Sep-99	8970
Oct-99	9481
Nov-99	10577
Dec-99	15552
Jan-00	6726
Feb-00	7514
Mar-00	9330
Apr-00	9472
May-00	9551
Jun-00	9203
Jul-00	8910
Aug-00	10378
Sep-00	9731
Oct-00	9868
Nov-00	11512
Dec-00	16422
1-Jan	7263
1-Feb	7866
1-Mar	9535
1-Apr	9710
1-May	9711
1-Jun	9324
1-Jul	9063
1-Aug	10584
1-Sep	8928
1-Oct	9843
1-Nov	11211
1-Dec	16470
2-Jan	7508
2-Feb	8002
2-Mar	10203
2-Apr	9548
2-May	9906
2-Jun	9530
2-Jul	9298
2-Aug	10755
2-Sep	9128
2-Oct	10408
2-Nov	11618
2-Dec	16721
3-Jan	7891
3-Feb	7892
3-Mar	9874
3-Apr	9920
3-May	10431
3-Jun	9758
3-Jul	10003
3-Aug	11055
3-Sep	9941
3-Oct	10763
3-Nov	12058
3-Dec	17535
